schema_version,method_id,config_id,corruption_probability,query_subset,decoder_contract_recall_at_32,decoder_contract_acceptance_coverage,exact_trace_recall_at_32,exact_trace_acceptance_coverage,candidate_set_size_median,candidate_set_size_p95,candidate_reduction_ratio,total_query_latency_sec_p50,total_query_latency_sec_p95,total_query_latency_sec_p99
lazy-semantic-trace-stage-a1-dev-v1,B7_margin_aware_multi_probe_lsh,B7_margin_aware_multi_probe_lsh,0.1,all,0.966796875,0.001953125,0.5703125,0.001953125,41.0,54.0,0.9959060546875,0.009496000071521848,0.012238794943550603,0.0134531099407468
lazy-semantic-trace-stage-a1-dev-v1,B7_margin_aware_multi_probe_lsh,B7_margin_aware_multi_probe_lsh,0.15,all,0.95703125,0,0.32421875,0,41.0,55.44999999999999,0.9958837890625,0.009536899975501001,0.012450295052258298,0.01471655503730289
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.0,non_ambiguous_contract,1,1,1,0.9333333333333333,10000.0,10000.0,0.0,0.02493324998067692,0.027145675051724535,0.028798642052570357
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.01,non_ambiguous_contract,1,1,1,0.9333333333333333,10000.0,10000.0,0.0,0.024923750024754554,0.026868175039999186,0.02842428791685961
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.03,non_ambiguous_contract,1,1,1,0.9333333333333333,10000.0,10000.0,0.0,0.02502214995911345,0.027288329973816867,0.0287983840261586
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.05,non_ambiguous_contract,1,0.8458333333333333,1,0.8,10000.0,10000.0,0.0,0.02513080002972856,0.027253410039702428,0.029402897150721398
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.1,non_ambiguous_contract,1,0.0020833333333333333,1,0.0020833333333333333,10000.0,10000.0,0.0,0.02512789994943887,0.02739874500548467,0.029627932015573594
lazy-semantic-trace-stage-a1-dev-v1,B0_global_exact_semantic_scan,B0_global_exact_semantic_scan,0.15,non_ambiguous_contract,1,0,1,0,10000.0,10000.0,0.0,0.024997550004627556,0.027230100007727742,0.02834369496209545
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.0,non_ambiguous_contract,1,1,1,0.9333333333333333,1.0,2.0,0.9998933333333333,0.0005152499070391059,0.0009991199243813752,0.0012093129870481788
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.01,non_ambiguous_contract,0,0,0,0,0.0,0.0,1.0,0.00012250000145286322,0.00029262501630000765,0.0004815039597451672
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.03,non_ambiguous_contract,0,0,0,0,0.0,0.0,1.0,0.000123599951621145,0.0002662849379703399,0.0004808520281221713
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.05,non_ambiguous_contract,0,0,0,0,0.0,0.0,1.0,0.0001230000052601099,0.00026742994668893505,0.0005079180200118553
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.1,non_ambiguous_contract,0,0,0,0,0.0,0.0,1.0,0.00012335000792518258,0.00027468999614939084,0.0004340929968748235
lazy-semantic-trace-stage-a1-dev-v1,B1_exact_content_hash_only,B1_exact_content_hash_only,0.15,non_ambiguous_contract,0,0,0,0,0.0,0.0,1.0,0.00012255000183358788,0.00026822994695976373,0.00047461500507779393
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.0,non_ambiguous_contract,0.7375,0,0,0,10.0,10.0,0.9991422916666667,0.002014449972193688,0.0027733349357731635,0.003086572889005764
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.01,non_ambiguous_contract,0.7583333333333333,0.0020833333333333333,0.0020833333333333333,0.0020833333333333333,10.0,10.0,0.9991258333333334,0.0020420499495230615,0.002735169872175902,0.0030593129631597544
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.03,non_ambiguous_contract,0.725,0.0020833333333333333,0.0020833333333333333,0.0020833333333333333,9.0,10.0,0.9991539583333333,0.002001149987336248,0.0027801150979939846,0.0029988260602112856
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.05,non_ambiguous_contract,0.7666666666666667,0,0,0,10.0,10.0,0.999135625,0.002044950029812753,0.002787600038573146,0.0031264859973452954
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.1,non_ambiguous_contract,0.75,0,0,0,10.0,10.0,0.9991433333333334,0.0020011000451631844,0.0028087249665986747,0.0029891869192942965
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B3_stage_a_four_table_lsh,0.15,non_ambiguous_contract,0.7666666666666667,0,0,0,10.0,10.0,0.9991339583333333,0.0020438500214368105,0.002770599909126758,0.0030049310764297815
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.0,non_ambiguous_contract,0.95,0.004166666666666667,0.004166666666666667,0.004166666666666667,43.0,44.0,0.9958972916666666,0.00843319995328784,0.009607370034791528,0.010219972005579621
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.01,non_ambiguous_contract,0.9416666666666667,0.008333333333333333,0.008333333333333333,0.008333333333333333,44.0,44.0,0.9958810416666667,0.008468999993056059,0.009653219918254762,0.010468944032909346
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.03,non_ambiguous_contract,0.9375,0.0020833333333333333,0.0020833333333333333,0.0020833333333333333,44.0,44.0,0.9958916666666666,0.00848509999923408,0.009663450007792562,0.012430516014574084
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.05,non_ambiguous_contract,0.9520833333333333,0.0020833333333333333,0.0020833333333333333,0.0020833333333333333,43.0,44.0,0.9958814583333333,0.00843104999512434,0.009586239990312604,0.012734055020846423
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.1,non_ambiguous_contract,0.9395833333333333,0,0.0020833333333333333,0,44.0,44.0,0.9958591666666666,0.008461300109047443,0.009698299923911689,0.011503860020311521
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B4_a1p_multi_table_lsh,0.15,non_ambiguous_contract,0.9520833333333333,0,0.00625,0,44.0,44.0,0.9958820833333333,0.008451750036329031,0.00950380995054729,0.01110378898330964
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.0,non_ambiguous_contract,0.9520833333333333,0.010416666666666666,0.010416666666666666,0.010416666666666666,74.0,74.0,0.9929616666666666,0.014141749998088926,0.01544245500699617,0.01633543294505216
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.01,non_ambiguous_contract,0.94375,0.008333333333333333,0.008333333333333333,0.008333333333333333,73.0,74.0,0.99300125,0.014032650040462613,0.015097294939914718,0.01619384395889937
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.03,non_ambiguous_contract,0.9166666666666666,0,0,0,73.0,74.0,0.9929845833333333,0.014206200023181736,0.01558213501702994,0.019226733994437382
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.05,non_ambiguous_contract,0.9375,0.00625,0.008333333333333333,0.00625,72.0,74.0,0.9930110416666666,0.014055599982384592,0.01562677500187419,0.018443073994712872
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.1,non_ambiguous_contract,0.9520833333333333,0,0.008333333333333333,0,72.5,74.0,0.9929983333333333,0.014117000042460859,0.015424369968241078,0.0174799160112161
lazy-semantic-trace-stage-a1-dev-v1,B2_random_bucket_routing,B2_random_bucket_routing::B5_a1s1_multi_table_lsh,0.15,non_ambiguous_contract,0.95,0,0.008333333333333333,0,73.0,74.0,0.9929870833333333,0.014114700024947524,0.015112955053336919,0.017257375973276732
