schema_version,cell_id,dimensions,substrate,arm_id,median_decode_time_sec,p90_decode_time_sec,p99_decode_time_sec,median_end_to_end_time_sec,p90_end_to_end_time_sec,p99_end_to_end_time_sec,same_device_timing
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_wallclock_matched_bcf_median,0.04900255549999599,0.057287635400007274,0.06308933904998469,0.05529540999999938,0.06199968339997213,0.07106837716998655,True
level3-2b-map-budget-robustness-dev-v1,u1_boundary_31,1024,MAP,map_1024_wallclock_matched_bcf_p90,0.1098973319999601,0.11874077130000273,0.12131033379002504,0.11623960899997599,0.12249016460000064,0.12522294528002617,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,BCF,bcf_d512_f3_b4_reference,0.027594681000000065,0.03495260350000251,0.03617892510000296,0.06326613249999724,0.07783994900000835,0.07955685770001394,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step12,0.005565139499996263,0.007592469500004029,0.014356959100006603,0.009651953999991747,0.01295598899999817,0.020178459900009212,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step128,0.004867426999997093,0.010742423000003498,0.014195582149996964,0.008834576499996416,0.01523197799999565,0.017912636700000917,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step12_r4_best_native_reconstruction,0.0571816434999981,0.07049650049999201,0.077079732999999,0.06139247899999134,0.0737429439999886,0.08158419174999736,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step12_r4_majority_vote,0.06142184099999781,0.08095907799999225,0.09299451989999383,0.06489891749998833,0.08493013549999517,0.09864343494998948,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step12_r4_random_restart_selection,0.052436350500016715,0.07255616450000346,0.0755311758999948,0.057412758500007044,0.07538535350001041,0.08068745914999481,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step32,0.005263952500001778,0.006497300000003037,0.01174823100000779,0.00942254549999788,0.011968230500002619,0.0175697318000104,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step32_r4_best_native_reconstruction,0.06021680450001554,0.07324663349999838,0.11090896275000367,0.06437590650001113,0.07806804600000206,0.11412680019999434,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step32_r4_majority_vote,0.05746891549999589,0.07857622900000649,0.08345298180001706,0.06093394799999885,0.08416462500000677,0.08883192820001327,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step32_r4_random_restart_selection,0.06504862799999955,0.08175750299999507,0.09578041885000488,0.067514297000006,0.08657891549999874,0.09899640709999707,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_step64,0.005162401999999844,0.0106704860000022,0.013301086799997818,0.009076152499993384,0.015510312500005341,0.01874965415000176,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_wallclock_matched_bcf_median,0.03245731500000559,0.04047916949999575,0.04500046805000508,0.0353046225000071,0.045497479999987434,0.04793709390000203,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,512,MAP,map_512_wallclock_matched_bcf_p90,0.039577726999993956,0.04873832950000434,0.05621360775000212,0.045698502000004027,0.05180949150000913,0.05937621654999603,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step12,0.0048381024999955,0.014928732500006703,0.020311375950002028,0.009461927500002076,0.01914701450001033,0.02727042664999572,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step128,0.005621008499996805,0.010377474000001996,0.011966873700002621,0.01014383150000242,0.016213481999997725,0.018131340050000232,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step12_r4_best_native_reconstruction,0.051466521500000084,0.058070687499998996,0.07205158060000372,0.0573468214999977,0.06405048050000417,0.07834947105000438,True
