schema_version,method_id,budget_contract,trace_dimensions,corruption_cell,decoder_families_attempted_mean,decoder_invocations_mean,factor_or_replay_candidates_evaluated_mean,verified_reconstruction_rate,wrong_decoder_invocations_mean,time_to_verified_reconstruction_p50
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C4_CAPSULE_MISSING,0.7421875,0.7421875,0.75,0.5859375,0.15625,0.00015659997006878257
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,0.75,0.75,0.75,0.6015625,0.1484375,0.00016499997582286596
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,64,C6_WRONG_VALID_CAPSULE,0.7421875,0.7421875,0.75,0.625,0.1171875,0.00015724991681054235
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C0_CLEAN,0.75,0.75,0.75,0.5546875,0.1953125,0.00016430002870038152
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C1_SEMANTIC_ONLY,0.75,0.75,0.75,0.5625,0.1875,0.00016365002375096083
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C2_CAPSULE_ONLY,0.75,0.75,0.75,0.6640625,0.0859375,0.0001631999621167779
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C3_SEMANTIC_AND_CAPSULE,0.7421875,0.7421875,0.75,0.6171875,0.125,0.00016160000814124942
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C4_CAPSULE_MISSING,0.75,0.75,0.75,0.6015625,0.1484375,0.00016950001008808613
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C5_SEMANTIC_PARTIAL_MASK,0.7421875,0.7421875,0.75,0.6328125,0.109375,0.0001633499632589519
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_SEMANTIC_CAPACITY,128,C6_WRONG_VALID_CAPSULE,0.75,0.75,0.75,0.6171875,0.1328125,0.00016310001956298947
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C0_CLEAN,0.7421875,0.7421875,0.75,0.59375,0.1484375,0.0001649500336498022
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C1_SEMANTIC_ONLY,0.75,0.75,0.75,0.546875,0.203125,0.00017179996939375997
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C2_CAPSULE_ONLY,0.75,0.75,0.75,0.625,0.125,0.00016205006977543235
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C3_SEMANTIC_AND_CAPSULE,0.75,0.75,0.75,0.546875,0.203125,0.0001626000157557428
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C4_CAPSULE_MISSING,0.734375,0.734375,0.75,0.6328125,0.1015625,0.0001572000328451395
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C5_SEMANTIC_PARTIAL_MASK,0.75,0.75,0.75,0.609375,0.140625,0.00016549997963011265
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,0,C6_WRONG_VALID_CAPSULE,0.734375,0.734375,0.75,0.578125,0.15625,0.00016345002222806215
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C0_CLEAN,0.7421875,0.7421875,0.75,0.234375,0.5078125,0.00016095000319182873
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C1_SEMANTIC_ONLY,0.734375,0.734375,0.75,0.2578125,0.4765625,0.00016705004964023829
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C2_CAPSULE_ONLY,0.75,0.75,0.75,0.1953125,0.5546875,0.00016454997239634395
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C3_SEMANTIC_AND_CAPSULE,0.734375,0.734375,0.75,0.265625,0.46875,0.00016229995526373386
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C4_CAPSULE_MISSING,0.7421875,0.7421875,0.75,0.234375,0.5078125,0.00017259997548535466
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C5_SEMANTIC_PARTIAL_MASK,0.7421875,0.7421875,0.75,0.265625,0.4765625,0.00016440002946183085
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,64,C6_WRONG_VALID_CAPSULE,0.7421875,0.7421875,0.75,0.25,0.4921875,0.0001667000469751656
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C0_CLEAN,0.75,0.75,0.75,0.2890625,0.4609375,0.00019254995277151465
first-order-trace-coactivation-dev-v1,B0_known_handle_sidecar_oracle,FIXED_TOTAL_CAPACITY,128,C1_SEMANTIC_ONLY,0.734375,0.734375,0.75,0.203125,0.53125,0.0001680999994277954
